#Copyrighthttps://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts,
43778,Texas-SanAntonio,24,OldDominion,23,
43778,Troy,49,GeorgiaSouthern,28,
43778,UtahState,37,FresnoState,35,
43778,Virginia,33,GeorgiaTech,28,
43778,VirginiaTech,36,WakeForest,17,
43778,WesternKentucky,45,Arkansas,19,
43778,Wisconsin,24,Iowa,22,
43781,EasternMichigan,42,Akron,14,
43781,WesternMichigan,37,Ohio,34,
43782,Miami(OH),44,BowlingGreenState,3,
43782,NorthernIllinois,31,Toledo,28,
43783,KentState,30,Buffalo,27,
43783,Pittsburgh,34,NorthCarolina,27,
43784,SanDiegoState,17,FresnoState,7,
43785,AirForce,38,ColoradoState,21,
43785,Alabama,38,MississippiState,7,
43785,Alabama-Birmingham,37,Texas-ElPaso,10,
43785,AppalachianState,56,GeorgiaState,27,
43785,ArkansasState,28,CoastalCarolina,27,
43785,Army,47,VirginiaMilitaryInstitute,6,
43785,BoiseState,42,NewMexico,9,
43785,BrighamYoung,42,IdahoState,10,
43785,CentralMichigan,45,BallState,44,
43785,Cincinnati,20,SouthFlorida,17,
43785,Clemson,52,WakeForest,3,
43785,Florida,23,Missouri,6,
43785,FloridaState,49,AlabamaState,12,
43785,Georgia,21,Auburn,14,
43785,GeorgiaSouthern,51,Louisiana-Monroe,29,
43785,Hawaii,21,Nevada-LasVegas,7,
43785,Iowa,23,Minnesota,19,
43785,IowaState,23,Texas,21,
43785,Kentucky,38,Vanderbilt,14,
43785,Louisiana,37,SouthAlabama,27,
43785,LouisianaState,58,Mississippi,37,
43785,Louisville,34,NorthCarolinaState,20,
43785,Marshall,31,LouisianaTech,10,
43785,Memphis,45,Houston,27,
43785,Michigan,44,MichiganState,10,
43785,NewMexicoState,41,IncarnateWord,28,
43785,Northwestern,45,Massachusetts,6,
43785,NotreDame,52,Navy,20,
43785,OhioState,56,Rutgers,21,
43785,Oklahoma,34,Baylor,31,
43785,OklahomaState,31,Kansas,13,
43785,Oregon,34,Arizona,6,
43785,OregonState,35,ArizonaState,34,
43785,PennState,34,Indiana,27,
43785,Rice,31,MiddleTennesseeState,28,
43785,SouthernCalifornia,41,California,17,
43785,SouthernMississippi,36,Texas-SanAntonio,17,
43785,Syracuse,49,Duke,6,
43785,Temple,29,Tulane,21,
43785,TexasA&M,30,SouthCarolina,6,
43785,TexasChristian,33,TexasTech,31,
43785,Troy,63,TexasState,27,
43785,Utah,49,UCLA,3,
43785,UtahState,26,Wyoming,21,
43785,VirginiaTech,45,GeorgiaTech,0,
43785,WashingtonState,49,Stanford,22,
43785,WestVirginia,24,KansasState,20,
43785,Wisconsin,37,Nebraska,21,
43788,EasternMichigan,45,NorthernIllinois,17,
43788,Ohio,66,BowlingGreenState,24,
43789,Buffalo,49,Toledo,30,
43789,Miami(OH),20,Akron,17,
43790,GeorgiaTech,28,NorthCarolinaState,26,
43791,Wyoming,17,ColoradoState,7,
43792,AirForce,44,NewMexico,22,
43792,Alabama,66,WesternCarolina,3,
43792,Alabama-Birmingham,20,LouisianaTech,14,
43792,AppalachianState,35,TexasState,13,
43792,ArizonaState,31,Oregon,28,
43792,ArkansasState,38,GeorgiaSouthern,33,
43792,Auburn,52,Samford,0,
43792,Baylor,24,Texas,10,
43792,BoiseState,56,UtahState,21,
43792,BrighamYoung,56,Massachusetts,24,
43792,California,24,Stanford,20,
43792,CentralFlorida,34,Tulane,31,
43792,Charlotte,24,Marshall,13,
43792,Cincinnati,15,Temple,13,
43792,Colorado,20,Washington,14,
43792,EastCarolina,31,Connecticut,24,
43792,FloridaAtlantic,40,Texas-SanAntonio,26,
43792,FloridaInternational,30,Miami(FL),24,
43792,Georgia,19,TexasA&M,13,
43792,GeorgiaState,28,SouthAlabama,15,
43792,Hawaii,14,SanDiegoState,11,
43792,Houston,24,Tulsa,14,
43792,Iowa,19,Illinois,10,
43792,IowaState,41,Kansas,31,
43792,KansasState,30,TexasTech,27,
43792,KentState,41,BallState,38,
43792,Kentucky,50,Tennessee-Martin,7,
43792,Louisiana,53,Troy,3,
43792,LouisianaState,56,Arkansas,20,
43792,Louisiana-Monroe,45,CoastalCarolina,42,
43792,Louisville,56,Syracuse,34,
43792,Memphis,49,SouthFlorida,10,
43792,Michigan,39,Indiana,14,
43792,MichiganState,27,Rutgers,0,
43792,MiddleTennesseeState,38,OldDominion,17,
43792,Minnesota,38,Northwestern,22,
43792,MississippiState,45,AbileneChristian,7,
43792,Navy,35,SouthernMethodist,28,
43792,Nebraska,54,Maryland,7,
43792,Nevada,35,FresnoState,28,
43792,Nevada-LasVegas,38,SanJoseState,35,
43792,NewMexicoState,44,Texas-ElPaso,35,
43792,NorthCarolina,56,Mercer,7,
43792,NotreDame,40,BostonCollege,7,
43792,OhioState,28,PennState,17,
43792,Oklahoma,28,TexasChristian,24,
43792,OklahomaState,20,WestVirginia,13,
43792,Rice,20,NorthTexas,14,
43792,SouthernCalifornia,52,UCLA,35,
43792,Tennessee,24,Missouri,20,
43792,Utah,35,Arizona,7,
43792,Vanderbilt,38,EastTennesseeState,0,
43792,Virginia,55,Liberty,27,
43792,VirginiaTech,28,Pittsburgh,0,
43792,WakeForest,39,Duke,27,
43792,WashingtonState,54,OregonState,53,
43792,WesternKentucky,28,SouthernMississippi,10,
43792,Wisconsin,45,Purdue,24,
43795,NorthernIllinois,17,WesternMichigan,14,
43795,Ohio,52,Akron,3,
43797,MississippiState,21,Mississippi,20,
43798,BallState,41,Miami(OH),27,
43798,BoiseState,31,ColoradoState,24,
43798,Buffalo,49,BowlingGreenState,7,
43798,CentralFlorida,34,SouthFlorida,7,
43798,CentralMichigan,49,Toledo,7,
43798,Iowa,27,Nebraska,24,
43798,KentState,34,EasternMichigan,26,
43798,Memphis,34,Cincinnati,24,
43798,Texas,49,TexasTech,24,
43798,Virginia,39,VirginiaTech,30,
43798,Washington,31,WashingtonState,13,
43798,WestVirginia,20,TexasChristian,17,
43799,AirForce,20,Wyoming,6,
43799,Alabama-Birmingham,26,NorthTexas,21,
43799,AppalachianState,48,Troy,13,
43799,ArizonaState,24,Arizona,14,
43799,Auburn,48,Alabama,45,
43799,Baylor,61,Kansas,6,
43799,BostonCollege,26,Pittsburgh,19,
43799,California,28,UCLA,18,
43799,Charlotte,38,OldDominion,22,
43799,Clemson,38,SouthCarolina,3,
43799,CoastalCarolina,24,TexasState,21,
43799,Duke,27,Miami(FL),17,
43799,Florida,40,FloridaState,17,
43799,FloridaAtlantic,34,SouthernMississippi,17,
43799,Georgia,52,GeorgiaTech,7,
43799,GeorgiaSouthern,38,GeorgiaState,10,
43799,Hawaii,52,Army,31,
43799,Indiana,44,Purdue,41,
43799,KansasState,27,IowaState,17,
43799,Kentucky,45,Louisville,13,
43799,Liberty,49,NewMexicoState,28,
43799,Louisiana,31,Louisiana-Monroe,30,
43799,LouisianaState,50,TexasA&M,7,
43799,LouisianaTech,41,Texas-SanAntonio,27,
43799,Marshall,30,FloridaInternational,27,
43799,MichiganState,19,Maryland,16,
43799,Missouri,24,Arkansas,14,
43799,Navy,56,Houston,41,
43799,Nevada-LasVegas,33,Nevada,30,
43799,NorthCarolina,41,NorthCarolinaState,10,
43799,Northwestern,29,Illinois,10,
43799,NotreDame,45,Stanford,24,
43799,OhioState,56,Michigan,27,
43799,Oklahoma,34,OklahomaState,16,
43799,Oregon,24,OregonState,10,
43799,PennState,27,Rutgers,6,
43799,Rice,30,Texas-ElPaso,16,
43799,SanDiegoState,13,BrighamYoung,3,
43799,SanJoseState,17,FresnoState,16,
43799,SouthAlabama,34,ArkansasState,30,
43799,SouthernMethodist,37,Tulane,20,
43799,Syracuse,39,WakeForest,30,
43799,Temple,49,Connecticut,17,
43799,Tennessee,28,Vanderbilt,10,
43799,Tulsa,49,EastCarolina,24,
43799,Utah,45,Colorado,15,
43799,UtahState,38,NewMexico,25,
43799,WesternKentucky,31,MiddleTennesseeState,26,
43799,Wisconsin,38,Minnesota,17,
43805,Oregon,37,Utah,15,
43806,AppalachianState,45,Louisiana,38,
43806,BoiseState,31,Hawaii,10,
43806,Clemson,62,Virginia,17,
43806,FloridaAtlantic,49,Alabama-Birmingham,6,
43806,LouisianaState,37,Georgia,10,
43806,Memphis,29,Cincinnati,24,
43806,Miami(OH),26,CentralMichigan,21,
43806,OhioState,34,Wisconsin,21,
43806,Oklahoma,30,Baylor,23,
43813,Navy,31,Army,7,
